brand,model,prod_class,prod_short_descr,num_usr_reviews,rec_rvw_rating,has_reviews,survey_cons,survey_pros,ratings_distribution,user_rating,user_rating_txt,user_rvw_hdln,submit_dateTime,submit_date,submit_time,rvw_username,rvw_userLocation,rvw_userCity,rvw_userState,rvw_userCountry,verified_buyer,verified_reviewer,user_review_content,btm_line_txt,url,reported_exceptions
Apple,Apple MacBook Pro 13-inch with Retina Display MF839LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 2.7GHz processor, 8GB of memory, Intel Iris Graphics 6100 graphics, and a 128GB solid state drive.",8,4.1,True,"CONS
2 Heavy
1 Left Out Some Ports
1 Quality Concerns
1 Storage Fast Not Enough
1 Unreliable Performance","PROS
8 Durable Construction
8 Fast
7 Easy To Use
7 Good Battery Life
7 Reliable Performance","5 Stars 3
4 Stars 4
3 Stars 0
2 Stars 1
1 Star 0",4.0,,"Faster, great screen, well built",2016-07-01T11:43:09.390Z,2016-07-01,11:43:09.390,PenaciousH,"New Brunswick, NJ",New Brunswick, NJ,USA,nan,nan,"My last MBP was bought by me in mid-2009; I had NEVER gotten that much out of a Windows laptop. And Apple's service esp Genius Bar is invaluable. This is about 1/3 lighter than old MBP 13 and only 1/2 pound more than MBA. Brighter and better detailed screen is cool. Thunderbolt port takes mini DVI adapter which is good. I don't like the SSD size limits and how much more, given today's prices, Apple charges for 512 GB vs 256, when in reality it's 249 GB due to OS software. Transition from old MBP was very easy with the transfer software.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 13-inch with Retina Display MF839LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 2.7GHz processor, 8GB of memory, Intel Iris Graphics 6100 graphics, and a 128GB solid state drive.",8,4.1,True,"CONS
2 Heavy
1 Left Out Some Ports
1 Quality Concerns
1 Storage Fast Not Enough
1 Unreliable Performance","PROS
8 Durable Construction
8 Fast
7 Easy To Use
7 Good Battery Life
7 Reliable Performance","5 Stars 3
4 Stars 4
3 Stars 0
2 Stars 1
1 Star 0",4.0,,Solid state drive may not need to be as large,2016-06-25T05:56:40.865Z,2016-06-25,05:56:40.865,JimEl,"Van Etten, NY",Van Etten, NY,USA,nan,Verified Reviewer,"The best of many Mac laptops I've owned for personal use. It lives a hard travel life, doing presentations and maintaining web sites and other communications. Beyond the other reviews and CR ratings, it seems to me that the solid state drives do not need to be oversized the way electro-mechanical drives typically must be for optimal performance.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 13-inch with Retina Display MF839LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 2.7GHz processor, 8GB of memory, Intel Iris Graphics 6100 graphics, and a 128GB solid state drive.",8,4.1,True,"CONS
2 Heavy
1 Left Out Some Ports
1 Quality Concerns
1 Storage Fast Not Enough
1 Unreliable Performance","PROS
8 Durable Construction
8 Fast
7 Easy To Use
7 Good Battery Life
7 Reliable Performance","5 Stars 3
4 Stars 4
3 Stars 0
2 Stars 1
1 Star 0",5.0,,Outstanding,2015-11-29T11:04:33.471Z,2015-11-29,11:04:33.471,Sunny D,New York City,,New York City,USA,nan,Verified Reviewer,"Have been using a PC since 1983, so I have a lot of experience. I have Win 8.1 and Win 10. The MAC OS works 1000% better than Windows in my opinion. It is brilliantly laid out with all menus in the logical position. I never could figure out windoes, while I enjoy and trust the MAC. It's hard to give specifics but I have to say I find that Mac OS works much better than Windows. I am extremely glad that I got the MAC.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 13-inch with Retina Display MF839LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 2.7GHz processor, 8GB of memory, Intel Iris Graphics 6100 graphics, and a 128GB solid state drive.",8,4.1,True,"CONS
2 Heavy
1 Left Out Some Ports
1 Quality Concerns
1 Storage Fast Not Enough
1 Unreliable Performance","PROS
8 Durable Construction
8 Fast
7 Easy To Use
7 Good Battery Life
7 Reliable Performance","5 Stars 3
4 Stars 4
3 Stars 0
2 Stars 1
1 Star 0",5.0,,"MacBook Pro 13"" Retina 251GB Flash Storage",2015-09-06T14:40:42.831Z,2015-09-06,14:40:42.831,Ben's Dad,"Victoria, BC, Canada",Victoria, BC, Canada,nan,Verified Reviewer,"I use the MBPro for school and personal use. I'm teaching my son to code using it and we also use it to program small mini-computers (Arduino/Raspberry Pi2). To manage space on the device I purchased a 2TB portable storage device and use it for both data/file storage and backup, using TimeMachine. I disabled TimeMachine backup to the MBPro and that has significantly freed up storage capacity. I have a high-end Dell running windows, and it just doesn't compare in terms of reliability and ease of use to the Apple device.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 13-inch with Retina Display MF839LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 2.7GHz processor, 8GB of memory, Intel Iris Graphics 6100 graphics, and a 128GB solid state drive.",8,4.1,True,"CONS
2 Heavy
1 Left Out Some Ports
1 Quality Concerns
1 Storage Fast Not Enough
1 Unreliable Performance","PROS
8 Durable Construction
8 Fast
7 Easy To Use
7 Good Battery Life
7 Reliable Performance","5 Stars 3
4 Stars 4
3 Stars 0
2 Stars 1
1 Star 0",5.0,,Impressive,2015-07-21T08:43:42.036Z,2015-07-21,08:43:42.036,Rick Joie de Vivre,Iowa,,Iowa,USA,nan,Verified Reviewer,"Application of latest technology (i.e.. flash drive, Force touch, battery) is a home run. Best value in laptops.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 15-inch with Retina Display MJLQ2LL/A computer,laptop,"A 15.4-inch laptop tested with OS X Yosemite 10.10, an Intel Core i7 2.2GHz processor, 16GB of memory, Intel Iris Pro graphics, and a 256GB solid state drive.",4,4.0,True,"CONS
1 Crashes/Freezes
1 Heavy
1 Niche Product
1 Poor Construction
1 Pricey","PROS
4 Easy To Use
4 Good Battery Life
3 Adequate Storage
3 Durable Construction
3 Fast","5 Stars 2
4 Stars 1
3 Stars 0
2 Stars 1
1 Star 0",4.0,,"Going on 2 years, works like new. Beautiful inside and out",2017-05-07T16:16:09.359Z,2017-05-07,16:16:09.359,Radiologist,"SLC, UT",SLC, UT,USA,nan,Verified Reviewer,"Replaced 8 yr old Macbook with this. I'm amazed it starts up AND shuts down within 5-10 seconds! And that hasn't changed at all after 2 years. Battery still at 93% original capacity after hundreds of cycles. Industry-leading Retina screen is almost too good. Can't give all 5 stars due to price. Buy refurbished through apple.com for better deal. Interestingly, the CPU fan still gets revved up when streaming video which was a chronic problem with my 8 year old Macbook as well. Note: combination of heavier build plus slick aluminum = drop hazard.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-with-retina-display-mjlq2ll-a-381914/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 15-inch with Retina Display MJLQ2LL/A computer,laptop,"A 15.4-inch laptop tested with OS X Yosemite 10.10, an Intel Core i7 2.2GHz processor, 16GB of memory, Intel Iris Pro graphics, and a 256GB solid state drive.",4,4.0,True,"CONS
1 Crashes/Freezes
1 Heavy
1 Niche Product
1 Poor Construction
1 Pricey","PROS
4 Easy To Use
4 Good Battery Life
3 Adequate Storage
3 Durable Construction
3 Fast","5 Stars 2
4 Stars 1
3 Stars 0
2 Stars 1
1 Star 0",5.0,,Upgraded from MacBook Air,2017-02-08T18:16:22.494Z,2017-02-08,18:16:22.494,Ottawa Consumer,"Ottawa, ON",Ottawa, ON,USA,nan,Verified Reviewer,"Upgraded from a MacBook Air which is still be used by another family member with no problems. Reasons to upgrade were: -More Storage 256 vs 128 Gb -Greatly Improved screen (IPS) -Larger Screen Integrates very well with other Apple products. When I signed into my iCloud account on my brand new computer, it downloaded almost everything I had on my MacBook Air including files on the Desktop. Instant on and off, unlike Windows. Apple sells a premium product and it is priced accordingly. I seriously considered buying a Windows machine but when I started looking for one with specs similar to the MacBook Pro 15"", the actual price difference was not that significant. You can buy a much less expensive machine but it will not have the SSD and fast processor etc. Excellent Hardware. I'm particularly impressed with the solidity of the chassis. I purchased a refurbished unit which was discounted 15%.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-with-retina-display-mjlq2ll-a-381914/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 15-inch with Retina Display MJLQ2LL/A computer,laptop,"A 15.4-inch laptop tested with OS X Yosemite 10.10, an Intel Core i7 2.2GHz processor, 16GB of memory, Intel Iris Pro graphics, and a 256GB solid state drive.",4,4.0,True,"CONS
1 Crashes/Freezes
1 Heavy
1 Niche Product
1 Poor Construction
1 Pricey","PROS
4 Easy To Use
4 Good Battery Life
3 Adequate Storage
3 Durable Construction
3 Fast","5 Stars 2
4 Stars 1
3 Stars 0
2 Stars 1
1 Star 0",2.0,,Apple had to replace mine,2016-08-27T07:21:56.611Z,2016-08-27,07:21:56.611,Jake,Earth,,Earth,USA,nan,nan,"Our first MacBook Pro kept breaking. The thing looked immaculate on the outside, but could not keep running for more than 1-2 months between service repairs. Thank god for the extended Warranty. Parts were replaced regularly because the tech could not figure out the problem. After the 7th repair, replacing cables, motherboard, hard drive, RAM, etc, I finally called Apple and they gave us a new one. I give 2 stars because they replaced it and the second Pro is still working without fail. My confidence is still low.","No, I would not recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-with-retina-display-mjlq2ll-a-381914/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 15-inch with Retina Display MJLQ2LL/A computer,laptop,"A 15.4-inch laptop tested with OS X Yosemite 10.10, an Intel Core i7 2.2GHz processor, 16GB of memory, Intel Iris Pro graphics, and a 256GB solid state drive.",4,4.0,True,"CONS
1 Crashes/Freezes
1 Heavy
1 Niche Product
1 Poor Construction
1 Pricey","PROS
4 Easy To Use
4 Good Battery Life
3 Adequate Storage
3 Durable Construction
3 Fast","5 Stars 2
4 Stars 1
3 Stars 0
2 Stars 1
1 Star 0",5.0,,Would Buy Again,2016-07-15T12:28:43.262Z,2016-07-15,12:28:43.262,KUJO,Miami,,Miami,USA,nan,Verified Reviewer,Had to replace my 2004 Mac Pro - with a Mac Pro...would do it again.,"Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-with-retina-display-mjlq2ll-a-381914/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Asus,Asus ZenBook Flip UX360CA computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core m3-6Y30 0.9GHz processor, 8GB of memory, Intel HD Graphics 515 graphics, a touchscreen, and a 512GB solid state drive.",3,3.0,True,"CONS
2 Heavy
1 Keyboard Lacks Backlight
1 Not As Fast As Expected
1 Poor Battery Life
1 Slow","PROS
3 Durable Construction
2 Adequate Storage
2 Fast
1 Good Battery Life
1 Heavier Than Expected","5 Stars 1
4 Stars 0
3 Stars 1
2 Stars 0
1 Star
1",1.0,,Steer clear!,2017-03-19T18:26:50.086Z,2017-03-19,18:26:50.086,Brooklyn Bob,"Marblehead, MA",Marblehead, MA,USA,nan,nan,"This is the first review I've written for CR after 40 years as a subscriber, so obviously I'm upset. I bought this in January after reading CR's take. Maybe mine is just a lemon. Amazon wouldn't take it back, making this the last time I'll buy a computer from them (bought 3 others in the past). Apparently Best Buy will service what you buy for a year. In any event, the touch pad is maddening, the keys often don't work, and in some ways it is actually slower than my 6 year old software glutted Acer 1430z with Windows 7 (which was half the price). Also Windows 10 is not as intuitive as 7 and doesn't seem to work as well with my Home Group. As a PC user since 1988 I was reluctant to go to a Mac. I guess I was wrong.","No, I would not recommend to a friend",http://www.consumerreports.org/products/laptop/asus-zenbook-flip-ux360ca-387106/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Asus,Asus ZenBook Flip UX360CA computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core m3-6Y30 0.9GHz processor, 8GB of memory, Intel HD Graphics 515 graphics, a touchscreen, and a 512GB solid state drive.",3,3.0,True,"CONS
2 Heavy
1 Keyboard Lacks Backlight
1 Not As Fast As Expected
1 Poor Battery Life
1 Slow","PROS
3 Durable Construction
2 Adequate Storage
2 Fast
1 Good Battery Life
1 Heavier Than Expected","5 Stars 1
4 Stars 0
3 Stars 1
2 Stars 0
1 Star
1",5.0,,Tremendous Value!,2017-01-15T19:18:45.213Z,2017-01-15,19:18:45.213,Steve,"Portland, OR",Portland, OR,USA,nan,Verified Reviewer,"This is the best value in a lightweight travel pc. It is beautiful, solid, fast and quiet. Works flawlessly - and looks and feels like a $1200 computer. It's a no-brainer. Just a fantastic value. Plus a very long battery life. And it weighs less that 3 lbs. It's a wonderful computer. The only option it lacks is a backlit keyboard. That doesn't affect my use at all . . . but if you like to work in the dark, you might want that feature.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/asus-zenbook-flip-ux360ca-387106/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
